"week","variable","freq"
"2020-04","X20A.EU2",0
"2020-04","X20A.S.126A",0
"2020-04","X20A.S.439K",0
"2020-04","X20A.S.98F",0
"2020-04","X20B.S.732A",0
"2020-04","X20E..EU1.",0
"2020-04","X20H..Beta..V2.",0
"2020-04","X20I..Alpha..V1.",0
"2020-04","X20J..Gamma..V3.",0
"2020-04","X21B..Kappa.",0
"2020-04","X21C..Epsilon.",0
"2020-04","X21D..Eta.",0
"2020-04","X21F..Iota.",0
"2020-04","X21G..Lambda.",0
"2020-04","X21H..Mu.",0
"2020-04","S.677H.Robin1",0
"2020-04","S.677P.Pelican",0
"2020-04","recombinant",0
"2020-04","others",1
"2020-04","Omicron",0
"2020-04","Delta",0
"2020-05","X20A.EU2",0
"2020-05","X20A.S.126A",0
"2020-05","X20A.S.439K",0
"2020-05","X20A.S.98F",0
"2020-05","X20B.S.732A",0
"2020-05","X20E..EU1.",0
"2020-05","X20H..Beta..V2.",0
"2020-05","X20I..Alpha..V1.",0
"2020-05","X20J..Gamma..V3.",0
"2020-05","X21B..Kappa.",0
"2020-05","X21C..Epsilon.",0
"2020-05","X21D..Eta.",0
"2020-05","X21F..Iota.",0
"2020-05","X21G..Lambda.",0
"2020-05","X21H..Mu.",0
"2020-05","S.677H.Robin1",0
"2020-05","S.677P.Pelican",0
"2020-05","recombinant",0
"2020-05","others",1
"2020-05","Omicron",0
"2020-05","Delta",0
"2020-06","X20A.EU2",0
"2020-06","X20A.S.126A",0
"2020-06","X20A.S.439K",0
"2020-06","X20A.S.98F",0
"2020-06","X20B.S.732A",0
"2020-06","X20E..EU1.",0
"2020-06","X20H..Beta..V2.",0
"2020-06","X20I..Alpha..V1.",0
"2020-06","X20J..Gamma..V3.",0
"2020-06","X21B..Kappa.",0
"2020-06","X21C..Epsilon.",0
"2020-06","X21D..Eta.",0
"2020-06","X21F..Iota.",0
"2020-06","X21G..Lambda.",0
"2020-06","X21H..Mu.",0
"2020-06","S.677H.Robin1",0
"2020-06","S.677P.Pelican",0
"2020-06","recombinant",0
"2020-06","others",1
"2020-06","Omicron",0
"2020-06","Delta",0
"2020-07","X20A.EU2",0
"2020-07","X20A.S.126A",0
"2020-07","X20A.S.439K",0
"2020-07","X20A.S.98F",0
"2020-07","X20B.S.732A",0
"2020-07","X20E..EU1.",0
"2020-07","X20H..Beta..V2.",0
"2020-07","X20I..Alpha..V1.",0
"2020-07","X20J..Gamma..V3.",0
"2020-07","X21B..Kappa.",0
"2020-07","X21C..Epsilon.",0
"2020-07","X21D..Eta.",0
"2020-07","X21F..Iota.",0
"2020-07","X21G..Lambda.",0
"2020-07","X21H..Mu.",0
"2020-07","S.677H.Robin1",0
"2020-07","S.677P.Pelican",0
